가게 이름,별점,리뷰 수,태그들
명륜진사갈비 서울수락산점,2.4,21,"#가족모임, #고기뷔페, #돼지갈비무한리필, #삼겹살무한리필, #친목모임, #제로페이"
펑라이,4.7,25,#제로페이
맥시칸치킨 상계점,4.0,4,#제로페이
호프&팔도막걸리,5.0,5,#혼술
먹보네쌈밥,3.8,6,#제로페이
콩두부전문점,5.0,1,
떡순튀 노원점,3.7,6,
김복남맥주 서울상계점,0,0,#제로페이
김인경제육집,3.7,3,"#카카오페이, #제로페이"
집밥&팔도막걸리,0,0,"#가성비좋은, #술한잔하기좋은, #혼술"
강강술래 상계지점,3.6,112,"#가족모임, #상견례, #이동약자접근, #점심식사, #친목모임, #회식장소, #카카오페이, #제로페이"
볶음밥에진심,5.0,2,
전주식당,0,0,
24시누름돌김치찌개돈까스,4.4,9,#제로페이
한우진국 소머리국밥,0,0,
현방오백소갈비살 수락산점,3.3,6,
혜원각,0,0,
락궁,2.7,9,
수락해신탕,3.6,8,"#가족모임, #친목모임, #제로페이"
피자스쿨 수락산역점,4.0,3,#제로페이
땅스부대찌개 수락산역점,3.3,4,"#혼밥, #제로페이"
정직유부 수락산역점,0,0,"#점심식사, #카카오페이, #제로페이"
청기와,0,0,
평양칼국수,3.2,56,
신대박700양꼬치,3.3,3,#점심특선
청춘골뱅이 수락점,5.0,2,#제로페이
마시조와,4.5,2,#점심특선
,35,,
짜장과우동,3.7,7,"#노포, #제로페이"
수락정,3.0,2,#제로페이
배터지는집포차,4.0,1,
오복식당,0,0,
박대박부대찌개 수락산점,4.4,7,#점심식사
교촌치킨 수락산역점,1.4,25,
우애돈카츠 수락산점,5.0,4,"#이동약자접근, #혼밥, #카카오페이, #제로페이"
보미네막국수순대국,2.5,2,"#노포, #제로페이"
옥순댁곰탕순대국 본점,3.0,2,#제로페이
한정식 본점,0,0,#점심식사
족발야시장 수락산점,2.1,11,"#친목모임, #카카오페이, #제로페이"
참치가,4.3,10,"#가족모임, #데이트코스, #분위기좋은, #상견례, #참치무한리필, #친목모임, #코스요리, #혼술, #제로페이"
공릉동원조멸치국수 상계임광점,4.3,4,
노원부대찌개,4.3,6,#제로페이
맛보기돈까스,0,0,
한식마을,0,0,
경화루,1.7,18,"#가족모임, #점심식사, #친목모임, #회식장소, #제로페이"
어가해물탕,0,0,
마들고을생고기,4.8,4,
호남동태탕찜,0,0,
홍짜장짬뽕전문점,5.0,5,
장충동왕족발보쌈365 상계1동점,0,0,
마마스도시락,3.3,3,#제로페이
에이치제이푸드,0,0,
지코바 노원상계점,3.3,3,
부어치킨 상계마들점,2.7,3,#제로페이
청사초롱,4.7,3,"#낭만적인, #제로페이"
팔선당,4.4,23,
어부생선구이,4.5,2,
이화수전통육개장 서울수락산점,4.0,4,"#혼밥, #제로페이"
짜장각시짬뽕신랑,0,0,
제이드플로르,0,0,
장충왕족발보쌈,0,0,
산과맥주,0,0,
수락산풍천장어,3.1,7,"#단체예약, #점심식사, #점심특선, #친목모임, #제로페이"
황금야식,1.0,1,#제로페이
구름공방 수락산점,4.4,10,"#분위기좋은, #술한잔하기좋은"
봉평산골메밀촌,3.9,15,"#막국수, #메밀전병, #봉평산골메밀촌, #수락산역맛집, #칼국수, #제로페이"
사쿠라,0,0,#제로페이
수향숯불갈비,3.2,6,"#점심식사, #제로페이"
호남해물탕,4.8,4,#제로페이
천년만년,2.8,6,#제로페이
또래오래 노원수락산역점,0,0,
고반식당 수락산점,4.5,10,"#가족모임, #친목모임, #회식장소, #카카오페이"
천사곱창 수락산역점,4.8,50,"#카카오페이, #제로페이"
피제리아비꼴로,4.3,10,"#분위기좋은, #이탈리아레스토랑, #코스요리, #피맥, #제로페이"
안촌수락닭한마리 안촌직영점,0,0,
디오스호프,4.3,4,#제로페이
전주식당,1.0,5,#제로페이
생고기1호점,5.0,1,
상계한방왕족발,0,0,
수락골솥뚜껑삼겹살,1.0,1,
전주원조흑염소삼겹살,0,0,
쿠마키친,4.3,16,"#혼밥, #제로페이"
임금님보쌈,3.1,9,"#노포, #점심식사, #점심특선, #제로페이"
백송춘천닭갈비,4.9,16,"#노원맛집, #단체모임, #수락산역맛집, #춘천닭갈비, #가성비, #점심특선, #제로페이"
빛나는바다 수락산점,2.4,17,#제로페이
정담재,5.0,2,"#수제막걸리, #전통음식, #한식디저트카페, #제로페이"
노원골 제주흑돼지,4.7,9,"#카카오페이, #제로페이"
치킨뱅이 수락산점,4.3,3,#제로페이
제주석갈비 노원수락산점,0,0,
포아이니쌀국수 수락산역점,0,0,
포아이니 수락산역점,4.5,6,
포아이니쌀국수 수락산점,4.0,2,#제로페이
정육점 덕유산숯불구이,4.7,3,"#가성비좋은, #정육식당, #제로페이"
싱싱식당,3.5,8,"#가족모임, #노포, #점심식사, #점심특선, #혼밥, #제로페이"
빈대떡마을,5.0,3,#제로페이
수락산털보네,4.5,2,"#노포, #술한잔하기좋은, #점심식사"
얼맥당 수락산점,5.0,2,#스몰비어
참치작가,4.3,6,#제로페이
송재안창 치수락산역점,0,0,"#노원역참치, #수락산역맛집, #숙성참치, #참다랑어, #참치"
소반,4.7,3,"#점심특선, #제로페이"
마들참홍어,4.2,5,#제로페이
추억열차,0,0,#제로페이
큰집닭강정 마들점,2.7,23,#제로페이
청학골,0,0,
