,place_name,category_name,category_group_name,road_address_name,x,y,place_url,distance,별점,리뷰 수,태그들,지정등급,category
86,빵빵한카스테라,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로153길 29,127.0417547,37.66988727,http://place.map.kakao.com/698278050,83,4.0,4,"#카카오페이, #제로페이",,간식
87,케익프라자,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 마들로 724,127.0474568,37.67452696,http://place.map.kakao.com/703346506,302,0.0,0,#제로페이,,간식
88,선스랩,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로114길 35,127.0363282,37.64759787,http://place.map.kakao.com/706294203,466,4.8,13,#제로페이,,간식
89,파린두스,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로150다길 28,127.0449268,37.66716604,http://place.map.kakao.com/713042246,164,4.5,15,"#도봉구빵맛집, #도봉구케이크맛집, #도봉구디저트, #방학동빵집, #방학동케이크, #수제디저트, #수제케이크, #이동약자접근, #제로페이",,간식
90,앤버터,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 덕릉로 253,127.0393962,37.64029711,http://place.map.kakao.com/801010258,605,4.9,13,#제로페이,,간식
91,패멩베이커리,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로116길 4,127.0356077,37.64804138,http://place.map.kakao.com/849760439,258,4.6,19,#제로페이,,간식
92,레 필로조프,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 방학로 31-7,127.0489673,37.66178468,http://place.map.kakao.com/892262699,372,3.3,3,#제로페이,,간식
93,디카플이오,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도당로 41,127.0346724,37.66159423,http://place.map.kakao.com/940668259,159,4.6,5,"#레터링케이크, #수제디저트, #수제케이크, #제로페이",,간식
94,몽블랑제과점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 덕릉로60다길 7,127.0400807,37.63841022,http://place.map.kakao.com/988304898,700,5.0,1,#제로페이,,간식
95,유한베이커리,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도당로 32,127.035233,37.66086067,http://place.map.kakao.com/1087092101,209,4.7,7,#제로페이,,간식
